"Taxon","pval","qval","lfc"
"UniRef90_A0A0M1GR12",0.659340633703123,1,-0.396733703391489
"UniRef90_A0A0M3UUY0",0.502410624739845,1,0.232294527249291
"UniRef90_A0A133N9F8",0.358368821272366,1,-0.376838590169442
"UniRef90_A0A1B8QRC9",0.487748968768642,1,0.301329701128532
"UniRef90_A0A1B8QRH7",0.2538711450071,1,0.519828712449267
"UniRef90_A0A1Z3CL97",0.448798217363629,1,0.385101825959446
"UniRef90_A0A2D4LAW4",0.959057313541662,1,-0.0124920313339489
"UniRef90_A0A2D4PUW7",0.507298487702005,1,-0.14306479754737
"UniRef90_A0A2N6TII2",0.254314893611758,1,-0.545037996029919
"UniRef90_A7GZT9",0.471821061496754,1,0.311408072021734
"UniRef90_C4GHH1",0.506665270326498,1,0.254304006066556
"UniRef90_C4GK28",0.639168221932126,1,0.167227572684873
"UniRef90_E1KT92",0.402969437200211,1,-0.367341902708328
"UniRef90_F9EE39",0.97189425637156,1,-0.0210275415844984
"UniRef90_F9EIP4",0.325328422244023,1,-0.596022745393192
"UniRef90_J5VG22",0.426903895007434,1,0.272038265051224
"UniRef90_L1NTW7",0.153448574652411,1,-0.697472129306329
"UniRef90_L1NXL4",0.536917732499308,1,0.33257019036434
"UniRef90_L1P5L4",0.488582484619103,1,-0.339601804424645
"UniRef90_L1P8P6",0.740427664203113,1,-0.144023409031361
"UniRef90_L1PPR7",0.474966027304688,1,-0.498074647977591
"UniRef90_U1QYG9",0.309700126349178,1,0.375576958730303
"UniRef90_U1R1G6",0.219623211347025,1,-0.553318857629392
"UniRef90_U1S963",0.696077813290295,1,0.136338276476627
"UniRef90_U2R544",0.105012723894717,1,-0.649980894377775
"UniRef90_U2RSB5",0.168399477471808,1,-0.440468949483586
"UniRef90_U7T8B7",0.419577464020655,1,0.361823035001734
"UniRef90_UPI00025E28F5",0.24040517395319,1,-0.625607254866344
"UniRef90_W2CAV2",0.632025901655086,1,0.149666712456811
"UniRef90_A0A0K8RT54",0.905083109404929,1,-0.0642878894401144
"UniRef90_A0A0R3PIN0",0.725802343553118,1,-0.188638981264338
"UniRef90_A0A0S2ZM78",0.933985871796333,1,0.0794681318337307
"UniRef90_A0A0T7ANP6",0.767803390755545,1,-0.0580943967839989
"UniRef90_A0A0X8JSY8",0.659683910854788,1,-0.439520279082806
"UniRef90_A0A134A108",0.106328803769463,1,-0.739640098212817
"UniRef90_A0A134A2L4",0.656564545616704,1,-0.214543332897666
"UniRef90_A0A134A313",0.420354852983895,1,-0.488776495576379
"UniRef90_A0A241Q2B3",0.285412849547785,1,0.61671357675083
"UniRef90_A0A241Q4K7",0.867845694025092,1,0.13966128184822
"UniRef90_A0A246EGZ2",0.347452805914176,1,0.427693628700573
"UniRef90_A0A250F9F0",0.168358693722546,1,-0.647383042620611
"UniRef90_A0A250FBG1",0.659387885116065,1,0.163302399467853
"UniRef90_A0A250FNZ8",0.261145160395018,1,0.419159720050015
"UniRef90_A0A2B7YJP5",0.61915555198008,1,-0.235835910766152
"UniRef90_A0A2B7YNI3",0.0100301336020067,1,-1.13163973457657
"UniRef90_A0A2C5ZYQ6",0.032312992084923,1,0.949502892048433
"UniRef90_A0A2C6BV61",0.396431119550833,1,-0.440243717977519
"UniRef90_A0A2C6C3I1",0.0105840746545693,1,1.23415532224374
"UniRef90_A0A2D3L920",0.906160517872071,1,0.0887047482994325
"UniRef90_A0A2G9F7T9",0.340652623778782,1,-0.479687442010687
"UniRef90_A0A2N6TLH8",0.68036488967746,1,-0.455701987415564
"UniRef90_A0A2N6TM57",0.0141426417565086,1,1.54902120216471
"UniRef90_A0A323TX70",0.123200103856256,1,-1.13255663944013
"UniRef90_A0A369Z458",0.741045157557433,1,0.129452654665704
"UniRef90_A5TSM3",0.86688530561097,1,0.0785326372400738
"UniRef90_A5TVF0",0.248939711079155,1,0.446036816350275
"UniRef90_A5TWG4",0.0241629195849898,1,1.24957727300403
"UniRef90_C2M4X0",0.0910416191547274,1,-0.915359300397787
"UniRef90_C4GJM7",0.553038577390374,1,-0.36980586954089
"UniRef90_C9LKJ6",0.461948205993725,1,-0.457475546645383
"UniRef90_C9MZ41",0.402756310850052,1,0.363677717017482
"UniRef90_D3IKE1",0.448896179250732,1,-0.339131700844957
"UniRef90_D3IMD8",0.476321744554786,1,-0.346820064876827
"UniRef90_D7NFI9",0.847927047808514,1,-0.109967037700043
"UniRef90_E0DE64",0.103820609496454,1,0.849986005585524
"UniRef90_E0DE79",0.915733987135104,1,-0.0700669235398852
"UniRef90_E0DE94",0.662663768012124,1,-0.248766688379284
"UniRef90_E0DFE6",0.36950415689911,1,-0.759475360019509
"UniRef90_E0DHI2",0.265127028700498,1,-0.893856172090017
"UniRef90_E0DHT7",0.700085327914717,1,0.291372045900412
"UniRef90_E7RTK6",0.385693692224554,1,-0.396520699929441
"UniRef90_E7RUQ9",0.829675289186563,1,0.066707624060305
"UniRef90_E7RY83",0.276773147073555,1,-0.714384795983004
"UniRef90_E7RZ05",0.246506185475047,1,-0.752658345361458
"UniRef90_F0EUX5",0.494266870245409,1,-0.445910748550052
"UniRef90_F2UVA9",0.863747413175563,1,0.111577356789036
"UniRef90_F7L2Y4",0.680401206733329,1,-0.224925322227384
"UniRef90_F9EJN4",0.580148685695964,1,0.220926290526688
"UniRef90_G6C504",0.337065273191901,1,0.688563202938704
"UniRef90_J0NS07",0.521255861150162,1,0.352500974023635
"UniRef90_J0XE44",0.66088538937214,1,0.307464245972101
"UniRef90_J4X3C5",0.158909832095188,1,0.573520734476018
"UniRef90_J4X4D7",0.950996721633382,1,-0.0357766563804537
"UniRef90_J5UUN7",0.486085392338203,1,0.566786313853372
"UniRef90_J5W1Y2",0.789390087000161,1,0.193863775077062
"UniRef90_J6HXM3",0.455219628164959,1,0.640508939675521
"UniRef90_J6HZ39",0.503041642811739,1,0.576626214742221
"UniRef90_J6I625",0.208701659367491,1,0.615533574391175
"UniRef90_J6IUG2",0.0427967778479542,1,0.759200440087524
"UniRef90_L1M8I9",0.20394742925649,1,-1.00313017328988
"UniRef90_L1MFV8",0.791903319704531,1,0.0845489399743799
"UniRef90_L1NIF8",0.601965299247935,1,0.206621758053475
"UniRef90_L1NQ05",0.428796455580546,1,-0.51603167516656
"UniRef90_L1NTI4",0.576590510198792,1,0.22187628397474
"UniRef90_L1NU03",0.0560096313199334,1,-1.17102363233192
"UniRef90_L1NXW0",0.0676606648961463,1,-0.924874265143445
"UniRef90_L1PBM2",0.694397879521943,1,0.263614083061649
"UniRef90_L1PDL4",0.515931504918669,1,0.220526780007754
"UniRef90_L1PHN3",0.590914705131235,1,0.225567390154152
"UniRef90_L1PNE1",0.464135769084529,1,0.330305601590443
"UniRef90_L1PPT0",0.120036506191898,1,-0.66720277014781
"UniRef90_L1PQ39",0.645877806401747,1,-0.217244498733757
"UniRef90_L1PQP4",0.303438320933058,1,-0.396319511685036
"UniRef90_L1PSR8",0.647726806408528,1,0.197196816609043
"UniRef90_L1PTL1",0.0644024713552528,1,-1.0822279613609
"UniRef90_L1PUB1",0.0504678642598405,1,-0.818307712059122
"UniRef90_Q7P652",0.50614199191435,1,0.235312502232665
"UniRef90_S2ZQS1",0.636154696931471,1,-0.301688710011092
"UniRef90_U1Q2Z8",0.243883930758696,1,-0.820945630895831
"UniRef90_U1QF15",0.66922751642915,1,0.134530575967613
"UniRef90_U1QP00",0.983037932954105,1,-0.0218848987534684
"UniRef90_U1QXW4",0.612017417427623,1,0.172330661650957
"UniRef90_U1R3T5",0.518185229590015,1,-0.3830893051763
"UniRef90_U1R9S4",0.0292278217119935,1,-1.37085060380843
"UniRef90_U1S322",0.642854370062149,1,-0.189135217709276
"UniRef90_U1S5K2",0.619689373350248,1,-0.576402968155638
"UniRef90_U1SAA0",0.397332215958141,1,-0.660301755316227
"UniRef90_U2AZB2",0.528734767475136,1,0.263249442281398
"UniRef90_U2C3C7",0.536902623557174,1,0.236584362655213
"UniRef90_U2CAK8",0.729369934323208,1,0.141461429919528
"UniRef90_U2PKD9",0.0346276321816081,1,-1.66542394088954
"UniRef90_U2PUM3",0.0881309242111327,1,-0.646476408191538
"UniRef90_U2R2D9",0.637864223333511,1,-0.378932683935462
"UniRef90_U2RAS2",0.6497392351097,1,-0.685415243611771
"UniRef90_U2V6P6",0.223351927291155,1,-0.56312968594735
"UniRef90_U7UVW5",0.606968753615016,1,-0.373840515500167
"UniRef90_UPI0003F91960",0.691251020904446,1,-0.204206603258886
"UniRef90_UPI0004686854",0.899202851253039,1,-0.052080106273465
"UniRef90_UPI0007E347B6",0.119985564600829,1,-0.932296465963057
"UniRef90_W2C822",0.156123286814976,1,-0.557354702288474
"UniRef90_W2CHB7",0.410766847692686,1,0.3571452960648
"UniRef90_W2CIC4",0.918634896840343,1,0.032139239681204
"UniRef90_W2CII2",0.0215624128502274,1,-1.01361461645865
"UniRef90_W2CTG9",0.742509493426219,1,-0.189908998882373
"UniRef90_X8HWZ7",0.0489952514253879,1,0.722418759029508
"UniRef90_X8I528",0.704982028274601,1,-0.318473942510802
"UniRef90_X8IBS7",0.501963627925802,1,0.223055520062793
