"Taxon","pval","qval","lfc"
"UniRef90_A0A2N6TFM9",0.0913152089454105,1,0.613671657341244
"UniRef90_D0GN47",0.996727642399332,1,-0.00213429209304683
"UniRef90_G9ZCM6",0.115566497165574,1,0.429612300697756
"UniRef90_J5VG22",0.0103923836095864,0.769036387109391,0.65810683836716
"UniRef90_L1P8P6",0.92440499927541,1,0.0273697639756078
"UniRef90_L1PPR7",0.50205037479196,1,-0.387131504790031
"UniRef90_U2R544",0.807764987755393,1,-0.0805033844597917
"UniRef90_UPI00025E28F5",0.672134898901444,1,0.26719823639499
"UniRef90_V2XHP5",0.88286058837229,1,-0.0786236349617193
"UniRef90_W2CTK3",0.988609525502271,1,-0.0062556173305831
"UniRef90_A0A0K8RT54",0.390000318600113,1,0.419818147383374
"UniRef90_A0A0R3PIN0",0.485942480143405,1,-0.369110203674519
"UniRef90_A0A0S2ZM78",0.725438060133597,1,-0.284473484472984
"UniRef90_A0A0X8JSY8",0.474833211826332,1,-0.593528072449143
"UniRef90_A0A134A108",0.640933670546362,1,-0.186454800452045
"UniRef90_A0A134A2L4",0.42275549438934,1,0.296379609268472
"UniRef90_A0A134A313",0.224941850629181,1,-0.545911233777888
"UniRef90_A0A1Q8WM28",0.158645255930787,1,0.577613524282363
"UniRef90_A0A241Q2B3",0.193958276570604,1,0.538296330736066
"UniRef90_A0A241Q4K7",0.708944347604342,1,-0.236645049385589
"UniRef90_A0A2B7YJP5",0.936688021421954,1,0.0349444871903195
"UniRef90_A0A2B7YY17",0.00515322306841383,0.396798176267865,0.966464455159035
"UniRef90_A0A2C5ZYQ6",0.0338166854033606,1,0.65855193412426
"UniRef90_A0A2C6BV61",0.947592070726359,1,0.0368379234983253
"UniRef90_A0A2D3L920",0.8101348458142,1,0.123572176646506
"UniRef90_A0A2N6TLH8",0.495563022326277,1,-0.706459246395921
"UniRef90_A0A2N6TM57",0.0144638915632472,1,0.796558089283273
"UniRef90_A0A323TX70",0.356995053871981,1,-0.586752013300415
"UniRef90_A5TSM3",0.630219497943733,1,0.142083524428511
"UniRef90_A5TV72",0.378625265277711,1,0.606003101322344
"UniRef90_A5TVF0",0.0204423982978017,1,0.595577164211746
"UniRef90_A5TWG4",0.0460126429272614,1,0.897262853887287
"UniRef90_C2M4X0",0.405563884570957,1,-0.429287382647682
"UniRef90_C9MUM6",0.955257122528181,1,0.0238400015381035
"UniRef90_C9MUM7",0.898117626009831,1,-0.0398720795389145
"UniRef90_C9MZK9",0.00876910829789502,0.657683122342126,0.687008380905357
"UniRef90_D3QZD1",0.00793665351853374,0.603185667408564,1.00862373108881
"UniRef90_E0DFE6",0.158639519222118,1,-1.12833976502551
"UniRef90_E0DHI2",0.62543588532533,1,-0.377635126529847
"UniRef90_E0DHT7",0.396093229154516,1,0.497152063067384
"UniRef90_E6LLD9",0.0796799462533028,1,0.571259142743782
"UniRef90_E7RY83",0.706953979958839,1,-0.247782874104549
"UniRef90_F2UVA9",0.944023345765899,1,0.0406678231186373
"UniRef90_F7L2Y4",0.373363844659277,1,0.42129453661939
"UniRef90_G6C504",0.439960733059886,1,0.519461444275348
"UniRef90_J4X3C5",0.11879714048105,1,0.572850114580011
"UniRef90_J5UUN7",0.656756269060551,1,0.29772716729044
"UniRef90_J5W1Y2",0.632334561115232,1,-0.294705861589211
"UniRef90_J6HXM3",0.651770644641604,1,-0.325412918573896
"UniRef90_J6HZ39",0.435595356417699,1,-0.495760000937782
"UniRef90_J6IUG2",0.00083938174091693,0.0663111575324375,0.981430463198594
"UniRef90_L1NQ05",0.88965213139346,1,0.0879741057709334
"UniRef90_L1NU03",0.0106196722115273,0.775236071441492,-1.26750894509845
"UniRef90_L1NZV5",0.0661272721507449,1,0.637610669757055
"UniRef90_L1PJ83",0.94854652607729,1,0.0208439582197838
"UniRef90_L1PPT0",0.770266029573965,1,-0.106264336662176
"UniRef90_L1PQP4",0.805839723443105,1,0.101311268185458
"UniRef90_L1PTL1",0.203873391324924,1,-0.660836686437705
"UniRef90_S2ZQS1",0.992534867693504,1,0.00482926160722655
"UniRef90_U1Q2Z8",0.468530935528511,1,0.510373061895366
"UniRef90_U1QP00",0.88126375301634,1,-0.140785996701807
"UniRef90_U1R3T5",0.798042878441886,1,-0.140265429825471
"UniRef90_U1R9S4",0.359779058628449,1,-0.630154892326144
"UniRef90_U1S322",0.969506333438859,1,0.0150544853894755
"UniRef90_U1S5K2",0.336373742344097,1,-0.963705975143902
"UniRef90_U1SAA0",0.0429168268425343,1,-1.10728383267028
"UniRef90_U2CAK8",0.13372865536205,1,0.351981144781535
"UniRef90_U2IFD3",0.0402575988086539,1,0.681500131804486
"UniRef90_U2PKD9",0.0320659271262979,1,-1.61007970169965
"UniRef90_U2QGP4",0.670002713930998,1,-0.151573381009984
"UniRef90_U2R2D9",0.709160482572172,1,0.267587477612335
"UniRef90_U2RAS2",0.821702308787838,1,-0.280724039999651
"UniRef90_UPI0004686854",0.51907374163932,1,0.181680809739479
"UniRef90_UPI0007E347B6",0.706911669715828,1,-0.214367420585489
"UniRef90_W2C822",0.968447360569279,1,0.0185897023755466
"UniRef90_W2CTG9",0.817439209170254,1,0.133300946756378
"UniRef90_W2VDD7",0.000871965276779628,0.0680132915888109,1.04857816385198
"UniRef90_X8HWZ7",0.0350608762020309,1,0.581449902245437
"UniRef90_X8I528",0.179643053887119,1,0.832160794419062
