"Taxon","pval","qval","lfc"
"UniRef90_A0A0M3UUY0",0.560885417739993,1,-0.200242860293787
"UniRef90_A0A1B8QRC9",0.469521663681169,1,-0.330616108095938
"UniRef90_A0A1B8QRH7",0.394640143623798,1,-0.419794264119052
"UniRef90_A0A1Z3CL97",0.422851903421531,1,-0.413751311904933
"UniRef90_A0A2N6TFM9",0.0500144733308662,1,0.678286886311751
"UniRef90_C4GHH1",0.397828004133601,1,-0.366915031061569
"UniRef90_E7RTV5",0.395199825768324,1,0.274465909623262
"UniRef90_F9EE39",0.767431897530338,1,-0.193506423328965
"UniRef90_G9ZCM6",0.0378868904022639,1,0.494227529668263
"UniRef90_J5VG22",0.848095186279536,1,0.0722363177242278
"UniRef90_L1P8P6",0.720346975132281,1,-0.14243908258474
"UniRef90_L1PPR7",0.688191153406761,1,-0.202889112404149
"UniRef90_Q9F266",0.969269097463497,1,0.0181589997997715
"UniRef90_U1PUH2",0.567498452081766,1,0.211648935066466
"UniRef90_U1QYG9",0.305199824702465,1,-0.389051903441317
"UniRef90_U1S963",0.529151871980235,1,-0.212275472213276
"UniRef90_U2R544",0.354192042783584,1,0.255645254326274
"UniRef90_UPI00025E28F5",0.159090976480179,1,0.578973235669626
"UniRef90_A0A0K8RT54",0.712204630595144,1,0.17027378123178
"UniRef90_A0A0R3PIN0",0.208152544323618,1,-0.49430347800189
"UniRef90_A0A0S2ZM78",0.401019138622711,1,-0.677773871898422
"UniRef90_A0A0T7ANP6",0.485372983262196,1,-0.141871650548096
"UniRef90_A0A0X8JSY8",0.520626635834875,1,-0.467840048958044
"UniRef90_A0A134A108",0.219726958940514,1,0.239353042169064
"UniRef90_A0A134A2L4",0.660624914593569,1,0.197090686574429
"UniRef90_A0A134A313",0.462235302280865,1,-0.370966993793217
"UniRef90_A0A1Q8WM28",0.445136768278284,1,0.360998050915453
"UniRef90_A0A241Q2B3",0.446554530058761,1,-0.392249501606472
"UniRef90_A0A241Q4K7",0.241740754403731,1,-0.690138586825518
"UniRef90_A0A250FBG1",0.647834010916422,1,-0.20124164697459
"UniRef90_A0A250FBX2",0.755532465491227,1,0.10190811261382
"UniRef90_A0A250FNZ8",0.0663980638148685,1,-0.691988023989541
"UniRef90_A0A2B7YJP5",0.920642152317104,1,-0.0430518576352371
"UniRef90_A0A2B7YY17",0.0924822755770384,1,0.715305316562107
"UniRef90_A0A2C5ZYQ6",0.233186941198562,1,-0.604783213515881
"UniRef90_A0A2C6BV61",0.714964497981641,1,0.163249385884136
"UniRef90_A0A2C6C3I1",0.0148162587582457,1,-1.29897676150323
"UniRef90_A0A2D3L920",0.688561337675378,1,-0.278964827244635
"UniRef90_A0A2N6TLH8",0.493956532861754,1,-0.564589514572064
"UniRef90_A0A2N6TM57",0.116568376064163,1,-1.06629536847315
"UniRef90_A0A323TX70",0.590539729078335,1,0.231972370548008
"UniRef90_A0A369Z458",0.98603487227377,1,-0.00753048787514124
"UniRef90_A5TSM3",0.526777709561159,1,-0.250281368403272
"UniRef90_A5TV72",0.0199498106629133,1,1.1757778588015
"UniRef90_A5TVF0",0.696941386950688,1,-0.164291907730236
"UniRef90_A5TWG4",0.23567513880007,1,-0.666146674708451
"UniRef90_C2M4X0",0.551477396365264,1,0.172239662158397
"UniRef90_C8NI31",0.417188206421628,1,0.251275758667217
"UniRef90_C9MZ41",0.504174971383938,1,-0.295113126407631
"UniRef90_C9MZK9",0.133846575308002,1,0.515712508225956
"UniRef90_D2ZT22",0.917616072360334,1,0.0386000304317862
"UniRef90_D3IKE1",0.817503797061865,1,-0.0727226814086511
"UniRef90_D3QZD1",0.0037818108395521,0.442471868227596,1.07323896005932
"UniRef90_D4CSV9",0.570672772418215,1,0.172514673189554
"UniRef90_D7NFI9",0.623967553915311,1,-0.234993001740006
"UniRef90_E0DE64",0.07319933890926,1,-0.974390694435546
"UniRef90_E0DE79",0.390905798137419,1,-0.527156470109366
"UniRef90_E0DFE6",0.184358464655732,1,-0.682696660597705
"UniRef90_E0DHI2",0.758894878763667,1,0.202388789968462
"UniRef90_E0DHT7",0.880997672492433,1,-0.108052238424738
"UniRef90_E6LLD9",0.0383909182471324,1,0.635874371714289
"UniRef90_E7RY83",0.670818388960817,1,0.152769666286746
"UniRef90_F2UVA9",0.528755326532263,1,-0.384741789262107
"UniRef90_F7L2Y4",0.469170842397774,1,0.332387603255066
"UniRef90_F9EJN4",0.943761176846985,1,0.0321050842937559
"UniRef90_F9EQU2",0.666518111317963,1,0.151622747885062
"UniRef90_F9GMH7",0.464551436659102,1,0.235907633964681
"UniRef90_G6C504",0.562709750517382,1,-0.482934014255065
"UniRef90_J0XE44",0.387675311977209,1,-0.608996803740334
"UniRef90_J4X3C5",0.540135333198025,1,-0.314502875487715
"UniRef90_J5UUN7",0.408235655850227,1,-0.58289140215464
"UniRef90_J5W1Y2",0.160231132512095,1,-0.802401892257982
"UniRef90_J6HXM3",0.0502954617968894,1,-1.27975411384113
"UniRef90_J6HZ39",0.0250110706985729,1,-1.38621847127171
"UniRef90_J6I625",0.181365211977258,1,-0.702392383469537
"UniRef90_J6IUG2",0.833452097134833,1,-0.0916022324806381
"UniRef90_L1NIF8",0.957903999980475,1,-0.0244483674029513
"UniRef90_L1NQ05",0.502941129233382,1,0.290173525345785
"UniRef90_L1NTI4",0.484728388615352,1,-0.305808846500796
"UniRef90_L1NZV5",0.486461322209217,1,0.342616925214549
"UniRef90_L1PBM2",0.142851131711456,1,-0.862795575539525
"UniRef90_L1PDL4",0.957613356733976,1,-0.0191303805422363
"UniRef90_L1PPT0",0.398471745504378,1,0.247106177893925
"UniRef90_L1PQ39",0.642187599299483,1,-0.169477606371488
"UniRef90_L1PQP4",0.534156783479837,1,0.183798524278786
"UniRef90_L1PS04",0.567703612264208,1,0.245437796008943
"UniRef90_L1PSR8",0.587393052533066,1,-0.237238453326856
"UniRef90_L1PTL1",0.760032219298371,1,0.107559019331485
"UniRef90_L1PUU1",0.591960377053629,1,0.170219037021085
"UniRef90_L1Q3K9",0.29472044963094,1,0.261629662596803
"UniRef90_S2ZQS1",0.987882858380692,1,-0.00731428397338973
"UniRef90_U1Q2Z8",0.0712222018898557,1,1.01748643719949
"UniRef90_U1QF15",0.914601797464624,1,-0.0397119728945186
"UniRef90_U1QG29",0.358317954304587,1,0.23667055492309
"UniRef90_U1QP00",0.548061625894694,1,-0.432733353540047
"UniRef90_U1QXW4",0.391001384281236,1,-0.314745643487939
"UniRef90_U1R3T5",0.830247485254868,1,-0.0710083802408804
"UniRef90_U1S322",0.721483428906203,1,-0.109642552492957
"UniRef90_U1S5K2",0.386425728566797,1,-0.701135262579972
"UniRef90_U1SAA0",0.169324997335049,1,-0.760814332945758
"UniRef90_U2AZB2",0.37599474861928,1,-0.373739688558601
"UniRef90_U2C3C7",0.383891241554774,1,-0.367982340350255
"UniRef90_U2CAK8",0.807434839574694,1,-0.103312540729701
"UniRef90_U2IFD3",0.78466702886218,1,0.161184344514855
"UniRef90_U2PKD9",0.635661929747043,1,-0.25848801640181
"UniRef90_U2R2D9",0.555313936462978,1,0.332687905956088
"UniRef90_U2RAS2",0.936024700952588,1,0.0908589480204109
"UniRef90_U7UVW5",0.462789519990312,1,-0.363084290070616
"UniRef90_UPI000319827F",0.355431046690443,1,0.195955173917386
"UniRef90_UPI0004686854",0.816091496110295,1,-0.0800713395787637
"UniRef90_UPI0007E347B6",0.283457566429345,1,0.404096789785859
"UniRef90_W2C822",0.347671579417813,1,0.262112149072312
"UniRef90_W2CHB7",0.266792378450775,1,-0.499021489564705
"UniRef90_W2CTG9",0.984327908239166,1,0.00937769004704168
"UniRef90_W2VDD7",0.000370886177410204,0.0437645689344041,1.11319339282249
"UniRef90_X8HWZ7",0.286125459872337,1,-0.45480111237578
"UniRef90_X8I528",0.256538704497584,1,0.836802481338155
"UniRef90_X8IBS7",0.306430090686268,1,-0.362712297423626
