"Taxon","pval","qval","lfc"
"UniRef90_A0A1B8QRH7",0.755116247201657,1,-0.116812010625672
"UniRef90_A0A2N6TFM9",0.716031523107449,1,0.199296769171225
"UniRef90_A0A377JJK5",0.274535798581145,1,-0.378716116533267
"UniRef90_A5TTJ2",0.828591555326869,1,0.0880757164537537
"UniRef90_J5VG22",0.0115141132782952,1,-0.668896626509123
"UniRef90_L1NTW7",0.856913336992315,1,-0.0605644625755965
"UniRef90_L1P8P6",0.322595747320428,1,-0.322478470721448
"UniRef90_L1PPR7",0.108199102997655,1,-0.562604027214874
"UniRef90_L1PRR6",0.311610309388899,1,-0.363954921218368
"UniRef90_Q9F257",0.354992033964995,1,0.255909047779409
"UniRef90_Q9F266",0.699338081342461,1,-0.156510980858971
"UniRef90_S4W8X7",0.383718856705686,1,0.27723229846391
"UniRef90_U1PUH2",0.667246738986444,1,-0.202034291291185
"UniRef90_U1QIV9",0.610303705916831,1,0.15312289553978
"UniRef90_U2KL13",0.959627578228528,1,-0.0222297453178706
"UniRef90_UPI00025E28F5",0.464174108364033,1,-0.391849307204512
"UniRef90_W2CTK3",0.601784495357898,1,-0.184602008990499
"UniRef90_W2CV44",0.967400407710085,1,-0.0125633584727292
"UniRef90_A0A069QGQ9",0.184659188556412,1,0.772968532931633
"UniRef90_A0A0K8RT54",0.222678556461976,1,-0.497278813435924
"UniRef90_A0A0R3PIN0",0.215040373649732,1,0.465028964235536
"UniRef90_A0A0S2ZM78",0.213259873337698,1,0.883914248700987
"UniRef90_A0A0X8JSY8",0.0153630436641899,1,1.53905761047722
"UniRef90_A0A134A2L4",0.660059820888124,1,-0.166798001208407
"UniRef90_A0A1C3H3M5",0.297088484531764,1,-0.321772337668933
"UniRef90_A0A1Q8WM28",0.455489016347618,1,-0.365264887601337
"UniRef90_A0A222PBB6",0.915148085389392,1,0.048585275550305
"UniRef90_A0A241Q2B3",0.115516882532472,1,0.737468436917444
"UniRef90_A0A241Q4K7",0.568691426528505,1,0.235057441643836
"UniRef90_A0A241Q4L3",0.144994889248611,1,0.615538724198942
"UniRef90_A0A2B7YJP5",0.458786063024961,1,0.290196139873858
"UniRef90_A0A2B7YY17",0.549177806372455,1,0.308866481584828
"UniRef90_A0A2C5ZYQ6",0.171240875890754,1,0.633694133696484
"UniRef90_A0A2C6BV61",0.090168339324421,1,1.06680377616334
"UniRef90_A0A2C6C3I1",0.531662521371365,1,0.271244206811748
"UniRef90_A0A2D3L920",0.885573366587923,1,0.0804100918987439
"UniRef90_A0A2G9FAK1",0.209224829656896,1,0.449406588620845
"UniRef90_A0A2N6TLH8",0.00574012223246595,0.631413445571255,2.02652115496922
"UniRef90_A0A2N6TM57",0.759352705138182,1,0.153472496836951
