"Taxon","pval","qval","lfc"
"UniRef90_A0A0F2CLW3",0.895207772987862,1,0.0492875018197902
"UniRef90_A0A0K1F006",0.483729754277806,1,0.435951493842587
"UniRef90_A0A0K1FGF7",0.802191137662918,1,0.0775199550149259
"UniRef90_A0A0M4GNK5",0.43093927503186,1,0.615822718321046
"UniRef90_A0A0M5JUP1",0.441519883656849,1,0.571519606843149
"UniRef90_A0A134A9A2",0.670160017765718,1,0.163190715069308
"UniRef90_A0A134BE17",0.0474186443487453,1,-0.691083203137673
"UniRef90_A0A1B6W0U8",0.0636236107997421,1,-0.813508416823157
"UniRef90_A0A1F0TVC6",0.637723168499813,1,0.293194310923368
"UniRef90_A0A1Q8V4Y7",0.679455402399562,1,0.211698268892215
"UniRef90_A0A250FT11",0.0894439608735644,1,-0.962259735276566
"UniRef90_A0A2C6A320",0.645459717846928,1,-0.33968989332777
"UniRef90_A0A2C6BS96",0.0188464365966955,1,-0.797584056813373
"UniRef90_A0A2T5XRS3",0.0597196720309668,1,-0.792920697271954
"UniRef90_A0A2X0U2S5",0.550143301303263,1,-0.526083470621255
"UniRef90_A0A2X4AK02",0.0745314468478396,1,-0.931852467296539
"UniRef90_A7BAZ1",0.535009247800139,1,-0.544385923729263
"UniRef90_C4GFY5",0.743753639677898,1,0.167984979370889
"UniRef90_C6M782",0.108168893727293,1,-1.16235514361086
"UniRef90_C7NBR1",0.012719269813607,1,-1.2608253618876
"UniRef90_E6KT84",0.56304491757516,1,0.281093241065136
"UniRef90_E7N0X4",0.560178271561399,1,0.441734338573659
"UniRef90_E7N2G7",0.85133552988409,1,0.0837099645104129
"UniRef90_E7N3N6",0.6029568191598,1,0.354552868278463
"UniRef90_E7N3V3",0.56041306404859,1,0.441191983294219
"UniRef90_E7N400",0.974699069094641,1,0.0108583435409677
"UniRef90_E7RVW1",0.0654793847829005,1,-1.96263738296893
"UniRef90_E7RXF4",0.660695648826963,1,-0.384142277483647
"UniRef90_E7RZF9",0.721373791427464,1,0.16987990931966
"UniRef90_E7RZV7",0.0829296393537897,1,-0.983351239015579
"UniRef90_E7S0K7",0.786817270818543,1,0.130178742918959
"UniRef90_F0F2M7",0.0769273444239912,1,-0.826410337050349
"UniRef90_F0YW75",0.917825486876006,1,-0.0352684873147073
"UniRef90_F3B3C8",0.0632652319738681,1,-0.811603820155947
"UniRef90_F9HHT9",0.640103828911385,1,0.293852812908759
"UniRef90_G1WBP3",0.5577881978682,1,-0.13421320749745
"UniRef90_G9YJV8",0.413573465372718,1,0.701675061080818
"UniRef90_G9ZEQ7",0.0674828305255932,1,-0.834229846375447
"UniRef90_G9ZH39",0.84583254343646,1,0.0874714596752562
"UniRef90_H1LUP6",0.387088115024788,1,0.770833956439084
"UniRef90_I0R4I6",0.614895533818777,1,-0.243236188023283
"UniRef90_I0R6Y7",0.597971686409744,1,0.358433233147587
"UniRef90_J0N2U1",0.686858386095321,1,-0.356273772079042
"UniRef90_J0SP23",0.520266630365378,1,-0.143119777800887
"UniRef90_J0WR50",0.133926719853938,1,-1.40433607947984
"UniRef90_J5GL04",0.98774680696086,1,0.00518652024109467
"UniRef90_J6HWZ4",0.0916638532076478,1,-0.910712137370672
"UniRef90_J6IVD7",0.878940450183503,1,0.0648165508058893
"UniRef90_L1MMI0",0.628727921209723,1,0.344585683827146
"UniRef90_L1P8E0",0.0520221780654527,1,-1.00375092749001
"UniRef90_L1P920",0.0712838389840288,1,-1.12812152621138
"UniRef90_L1PB62",0.112296033519936,1,-1.12379831426901
"UniRef90_L1PBR5",0.0219529898597537,1,-0.818540450504302
"UniRef90_R9MWB5",0.0504617825880767,1,-0.705980536019281
"UniRef90_U1QD71",0.374143259315911,1,-0.562564551184691
"UniRef90_U1QDI6",0.668746586727147,1,0.254049914709349
"UniRef90_U1RIG8",0.566463145805473,1,0.276148907391444
"UniRef90_U1RIV9",0.492363759925496,1,0.414165420003088
"UniRef90_U1RUD6",0.571063247762999,1,0.269657138653628
"UniRef90_U2A6D5",0.0700897384188281,1,-1.12001019589563
"UniRef90_U2IU26",0.0787886009528144,1,-0.897653692457707
"UniRef90_U2T1H5",0.0792311682109191,1,-1.18387513772813
"UniRef90_U7UXL5",0.0580743976804846,1,-0.838409481357172
"UniRef90_U7V776",0.0706323321234441,1,-0.908933224499025
"UniRef90_UPI000307AF32",0.849656154459937,1,0.0837099645104128
"UniRef90_UPI0003F563A9",0.0578182699238228,1,-0.783009132201368
"UniRef90_UPI0009F84078",0.457449763890199,1,0.513673518350556
"UniRef90_UPI0009F8505A",0.48301391350937,1,0.437831363610564
"UniRef90_UPI0009F88094",0.204949106813339,1,0.769831167426278
"UniRef90_UPI0009FC0E6D",0.681764309256468,1,0.237600246890656
"UniRef90_UPI000B991F34",0.0930125560351893,1,-0.918946303468755
"UniRef90_V2XLD5",0.0371670464638258,1,-0.913444718953247
"UniRef90_W1Q1S0",0.0370004525036458,1,-1.67751020972383
"UniRef90_W1Q5I9",0.109852830691749,1,-1.03123266548573
"UniRef90_W1WUM2",0.674792793282668,1,0.272294819466232
"UniRef90_A0A069QGQ9",0.870531821839265,1,-0.259516107785131
"UniRef90_A0A069ZHY6",0.0669336706614421,1,-0.887687277601209
"UniRef90_A0A0K1F0R7",0.445426716271866,1,0.556425869866381
