"Taxon","pval","qval","lfc"
"UniRef90_A0A069ZHF4",0.689831757080646,1,-0.223986354305914
"UniRef90_A0A0K1F006",0.746225940647423,1,-0.19057178505768
"UniRef90_A0A0M4GNK5",0.798930032991888,1,-0.138417125261546
"UniRef90_A0A0M5JUP1",0.928885413956958,1,0.0304768974677552
"UniRef90_A0A0X8JZ69",0.826139919236338,1,-0.11363233867961
"UniRef90_A0A1B6W0E7",0.992016727699028,1,-0.00427768872457646
"UniRef90_A0A1Q8V4Y7",0.599473356346466,1,0.695425203440277
"UniRef90_A0A1Q8VK35",0.98251403219889,1,0.0091193283209286
"UniRef90_A0A2G9FCS0",0.768499323171479,1,-0.167363391968655
"UniRef90_A0A2J8B302",0.948814579010372,1,-0.0284909159187107
"UniRef90_A0A2N8NE11",0.0686933817475669,1,1.17467019743685
"UniRef90_A0A2T4TCQ0",0.865214266724065,1,-0.0842532726157214
"UniRef90_A0A2X0U2S5",0.800170549720078,1,-0.157710497698273
"UniRef90_A0A3C0BI19",0.0496409459502116,1,1.01293884713435
"UniRef90_B9D2N3",0.0223148560485193,1,1.20135576281424
"UniRef90_C0E284",0.0833960352247252,1,1.27862222003197
"UniRef90_C7NA43",0.925342559122153,1,0.0347852335857625
"UniRef90_D0GMY5",0.851369147852454,1,-0.0820018504334111
"UniRef90_D0W442",0.813897729822552,1,-0.118259987469935
"UniRef90_D5K9G5",0.778472084001941,1,-0.181070702172484
"UniRef90_E7N400",0.487241497639076,1,-0.351679531017796
"UniRef90_F3AZB3",0.727220878477349,1,0.108166456485704
"UniRef90_F5RMQ7",0.907482283461095,1,-0.0547197858629217
"UniRef90_G9YJW2",0.123836790655396,1,1.91462336897667
"UniRef90_G9ZDE5",0.375859727694821,1,0.813347350951606
"UniRef90_G9ZJL7",0.0946745182670484,1,1.45168136629664
"UniRef90_H1LSA9",0.867939239093919,1,0.0703649331208334
"UniRef90_H1LUP6",0.664835131317413,1,-0.291472295580615
"UniRef90_H1LVS8",0.355173645678957,1,-0.586104162338502
