"Taxon","pval","qval","lfc"
"UniRef90_U2R544",0.0435594153927002,1,-0.760149671024889
"UniRef90_A0A134A313",0.00886296552574432,1,-1.19458691807353
"UniRef90_A0A241Q2B3",0.00243271846117213,0.340580584564098,1.48380852349746
"UniRef90_A0A2C5ZYQ6",0.0240699612778284,1,0.800777825043301
"UniRef90_A0A2N6TM57",0.000215786556884485,0.0304259045207123,1.67579495250332
"UniRef90_D3IKU4",0.00626865963073163,0.871343688671696,1.18184976035822
"UniRef90_F9EJN4",0.0116457693357919,1,1.06693220502509
"UniRef90_G6C504",0.0177773345099553,1,1.80313890885919
"UniRef90_J4X3C5",0.00867585769684063,1,1.14969919242447
"UniRef90_L1NU03",0.00888476871476509,1,-1.45453452263277
"UniRef90_L1PTL1",0.00816828146758908,1,-1.39893084002446
"UniRef90_L1PUB1",0.0110706484367455,1,-1.0490933524923
"UniRef90_U2PKD9",0.0391667294774725,1,-1.69850667573748
"UniRef90_UPI0007E347B6",0.0245406946099398,1,-1.23512553525438
