"Taxon","pval","qval","lfc"
"UniRef90_A0A096ASI9",0.037811954547959,1,-1.27558062933977
"UniRef90_A0A2C6BMA4",0.0127460967942992,1,-2.27781992181717
"UniRef90_E8KF34",0.00178501987792078,0.285603180467325,-0.942586761361692
"UniRef90_L1P8P6",0.0148024109378076,1,-1.72213906533191
"UniRef90_U1PUH2",0.0394010094201983,1,-1.16250080983355
"UniRef90_A0A134A313",0.0430031252031766,1,-1.15238315499286
"UniRef90_D7NFI9",0.047356008735422,1,-1.52528091239701
"UniRef90_G6C504",0.0414565349776685,1,1.75352065193053
"UniRef90_L1NZV5",0.0207203299087962,1,-1.98995538778685
"UniRef90_L1P8R8",0.00536627407072912,0.847871303175201,-1.53187331290992
"UniRef90_L1PKY8",0.00322895224425684,0.513403406836837,-1.61257135781383
"UniRef90_L1PNE1",0.0469366968453195,1,-1.16659277019348
"UniRef90_L1PUB1",0.0173894189650027,1,-1.56195006331774
"UniRef90_S2ZQS1",0.0381187402269008,1,-2.11819076769221
"UniRef90_U1R3T5",0.0253661105226444,1,0.910678544447109
"UniRef90_U2IFD3",0.0499959007871777,1,-1.80306379803205
