"Taxon","pval","qval","lfc"
"UniRef90_B9D2N3",0.0327753612370574,1,1.14989163238732
"UniRef90_H1LUP6",0.0271265634846174,1,-1.40241636981304
"UniRef90_J4KDX8",0.0468602059832068,1,1.28534495330485
"UniRef90_L1NIT5",0.0483580069312205,1,1.30018813270138
"UniRef90_U7V4D6",0.00983356451742962,1,2.23332566627683
"UniRef90_UPI00036A705E",0.0419438223721153,1,1.23737808582432
"UniRef90_A0A0X8KAH6",0.0474942571886988,1,1.29161374799782
"UniRef90_A0A134A2L4",0.0468602059832068,1,1.28534495330485
"UniRef90_A0A318HQ74",0.0214622252214991,1,1.04100461212057
"UniRef90_C8NB72",0.0321779519002994,1,1.14422478066863
"UniRef90_C9MUM6",0.0447834039645641,1,2.05633106821101
"UniRef90_D3IKE1",0.0401382331542136,1,1.21999957126299
"UniRef90_D3QZD1",0.0237115990457471,1,-1.98330884599964
"UniRef90_E7RXG0",0.010745231418077,1,2.83513157463806
"UniRef90_F9EDQ2",0.0153268423958093,1,0.977668925378202
"UniRef90_J0XEL7",0.00219761698457217,0.707632669032238,2.34425666349561
"UniRef90_J6I625",0.0380656428538834,1,1.20016878243652
"UniRef90_L1NQ05",0.00302939685610846,0.972436390810816,2.69302177123344
"UniRef90_U1RP32",0.0159982661104996,1,2.88695559799177
"UniRef90_U2BYZ5",0.0280909689657948,1,1.10535358214666
"UniRef90_U2C1G8",0.0400524349810332,1,1.21917634263701
"UniRef90_U2Q999",0.0460417205426948,1,1.27728309263806
"UniRef90_UPI0004E12320",0.0479234643072477,1,1.29586937394486
"UniRef90_W2CIW7",0.0389605938798035,1,1.20871825253177
"UniRef90_W2VDD7",0.0187729136619001,1,-1.52257576894709
"UniRef90_X8H3M8",0.035303028474545,1,1.17387589102613
