"Taxon","pval","qval","lfc"
"UniRef90_E7N400",0.00569262828031013,1,-1.43345349484126
"UniRef90_H1LVS8",0.0097162258300863,1,-1.66787812616197
"UniRef90_J0N2U1",0.00287577913552133,0.543522256613532,-1.89470461372857
"UniRef90_U1PZP5",0.00800065452214089,1,-1.93560021309736
"UniRef90_A0A2C5ZYQ6",0.0161454822587036,1,-2.0772825835895
"UniRef90_A0A2N6TM74",0.00774979938671354,1,-2.09170489715444
"UniRef90_C8NI31",0.00316503745005681,0.59502704061068,-1.93573277097466
"UniRef90_D2ZT22",0.0123293359348316,1,-1.75857714957162
"UniRef90_D3QZD1",0.0176415541074117,1,-2.19738866821444
"UniRef90_E0DE64",0.000268604359775204,0.0523778501561647,-2.46678263178159
"UniRef90_E0DE94",0.00263661116719887,0.500956121767784,-1.87176696617467
"UniRef90_E7RXG0",0.000546290810056992,0.105980417151057,-2.11062978047226
"UniRef90_E7RY83",0.0097533690572047,1,-1.80262467096346
"UniRef90_J0MQ72",0.0498025296921096,1,-1.3017924395089
"UniRef90_L1MBX8",0.00232078478222874,0.443269893405688,-1.74195623897646
"UniRef90_L1PBM2",0.0253224274488471,1,-2.28789757327818
"UniRef90_L1PMK0",0.0197090465483961,1,-2.207205154425
"UniRef90_L1PUU1",0.00161343733405047,0.310759481584241,-2.4243702591462
"UniRef90_U1Q6C0",0.00621341615391227,1,-1.76276577279108
"UniRef90_UPI0009F878EB",0.00161015275432249,0.310759481584241,-1.67011708666252
"UniRef90_X8I528",0.0151307723082183,1,2.87851273710042
