"B","C","D","E","F","G","H","I","J"
"UniRef90_E7RY83","UniRef90_B9D2N3",NA,NA,NA,NA,NA,NA,NA
"UniRef90_L1PMK0","UniRef90_J4KDX8",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_L1NIT5",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_UPI00036A705E",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_A0A318HQ74",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_C8NB72",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_C9MUM6",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_D3IKE1",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_F9EDQ2",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_L1NQ05",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_U2BYZ5",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_U2C1G8",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_U2Q999",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_UPI0004E12320",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_W2CIW7",NA,NA,NA,NA,NA,NA,NA
NA,"UniRef90_X8H3M8",NA,NA,NA,NA,NA,NA,NA
