"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_A0A069ZHF4",0,0,0,0,0,27.972027972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A0F2CLW3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8430343155
"UniRef90_A0A0K1F006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2143562936,0,23.5143329675,0,0
"UniRef90_A0A0K1FGF7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0321285141,0,0,0,0
"UniRef90_A0A0M4GNK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.25996867,0,17.8872042051,0,0
"UniRef90_A0A0M5JUP1",0,0,0,0,0,7.1174377224,0,0,13.93728223,0,0,0,0,0,0,0,0,0,0,105.7816734232,0,0,0,0
"UniRef90_A0A0X8JSW0",0,0,0,0,0,0,0,0,0,0,10.012845432,0,5.1347966515,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A0X8JZ69",0,0,15.6858446408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A133ZWC5",0,0,0,0,0,0,0,0,0,18.3061845772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A134A182",0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A134A9A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8618693135,0,0,0,0
"UniRef90_A0A134AAF9",0,0,0,0,0,0,0,0,0,22.2222222222,0,0,21.7391304348,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A134BE17",0,4.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A134C987",0,0,0,0,0,0,0,0,9.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
