"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_A0A069QGQ9",0,216.2513029156,0,264.6482945396,0,0,0,137.7379619261,0,0,482.7714336364,0,0,0,0,0,0,0,26.3157894737,142.6854754441,103.9136302294,0,72.2186076773,0
"UniRef90_A0A069ZHY6",0,0,0,0,0,0,0,0,0,0,0,12.8079996305,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A096C9G9",0,0,0,0,0,0,0,0,3.5089816164,0,0,0,6.993006993,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A0B4XM19",0,0,0,0,0,0,0,9.7800095648,0,0,14.471814015,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A0F7Z3D0",0,0,0,0,0,0,0,0,0,0,0,0,0,8.1632653061,0,0,0,0,0,0,0,0,0,0
"UniRef90_A0A0K1F0R7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.019582119,0,0,0,0
"UniRef90_A0A0K1F0Z5",0,0,0,0,0,0,0,0,0,0,0,0,7.6013946572,0,0,0,0,0,0,73.5588159716,0,0,0,0
"UniRef90_A0A0K1F3K2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.758519128,0,0,0,0
"UniRef90_A0A0K8RT54",0,0,0,0,0,13.6294927613,0,0,0,13.5135135135,7.5008337364,0,0,0,0,0,12.6582278481,0,0,0,0,0,0,0
"UniRef90_A0A0M3RJT7",0,0,0,0,0,12.3669002604,0,0,9.9939528563,0,0,0,0,0,0,0,0,0,0,198.6649639173,0,0,0,0
"UniRef90_A0A0M3RK10",0,0,0,0,0,0,24.3299505595,0,0,0,0,0,0,0,0,32.6661997893,0,0,0,0,0,0,0,0
"UniRef90_A0A0M4GJK6",0,0,0,0,0,0,0,0,36.8084775959,0,59.8082538444,0,0,0,0,0,0,0,0,59.0953946515,0,124.0919205438,0,0
"UniRef90_A0A0M4GL99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1759389321,0,0,0,0
"UniRef90_A0A0M4GPP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8346602385,0,0,0,0
