VFG026980(gb|YP_005923858)
VFG009720(gb|WP_011779686)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG026964(gb|WP_015290883)
VFG001405(gb|NP_217219)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG022861(gb|WP_013988942)
VFG026984(gb|WP_003878615)
VFG005242(gb|WP_011837269)
VFG018651(gb|WP_012130562)
VFG043000(gb|ABG47034)
VFG043004(gb|ZP_07361439)
VFG043603(gb|WP_078064065)
VFG043592(gb|AAF34780)
VFG049189(gb|WP_014226431)
VFG049193(gb|YP_005228284)
VFG049191(gb|WP_014907101)
VFG049192(gb|WP_008806080)
VFG049194(gb|WP_004150973)
VFG049196(gb|WP_004890358)
VFG049197(gb|WP_032452026)
VFG036585(gb|WP_009347163)
VFG000264(gb|WP_002247545)
VFG006272(gb|WP_002248093)
VFG018800(gb|WP_012221862)
VFG019717(gb|WP_003696779)
VFG006270(gb|WP_002247017)
VFG036581(gb|WP_014575479)
VFG036582(gb|WP_002226199)
VFG036583(gb|WP_014580996)
VFG036584(gb|WP_014581391)
VFG036586(gb|WP_002220561)
VFG036579(gb|WP_014573899)
VFG036580(gb|WP_015815370)
VFG036578(gb|WP_002246308)
VFG036589(gb|WP_013449303)
VFG037100(gb|WP_010980745)
VFG037099(gb|WP_002216163)
VFG037105(gb|WP_002233356)
VFG037110(gb|WP_002224229)
VFG037112(gb|WP_002221795)
VFG037101(gb|WP_010951394)
VFG037104(gb|WP_003687002)
VFG037116(gb|WP_013448170)
VFG046475(gb|WP_013922406)
VFG005552(gb|WP_011837486)
VFG018661(gb|WP_011999924)
VFG005549(gb|WP_000116477)
VFG005550(gb|WP_000116479)
VFG019092(gb|WP_000116465)
VFG019091(gb|WP_000116474)
VFG036802(gb|WP_002242118)
VFG036795(gb|WP_002246566)
VFG036811(gb|WP_013449660)
VFG036803(gb|WP_012779520)
VFG036798(gb|WP_002221745)
VFG036805(gb|WP_002225884)
VFG036804(gb|WP_002220019)
VFG000243(gb|WP_002218264)
VFG036797(gb|WP_003688094)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG036233(gb|WP_173361998)
VFG005862(gb|WP_009659423)
VFG018666(gb|WP_012000428)
VFG006022(gb|WP_002947383)
VFG005973(gb|WP_002263087)
VFG043005(gb|ZP_07361440)
VFG043002(gb|ABG47036)
VFG037035(gb|WP_002255636)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037041(gb|WP_014581728)
VFG037031(gb|WP_002216305)
VFG037032(gb|WP_003689973)
VFG037039(gb|WP_002221884)
VFG037029(gb|WP_010951343)
VFG037037(gb|WP_002239455)
VFG037044(gb|WP_013448270)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG005997(gb|WP_002263084)
VFG018664(gb|WP_012000426)
VFG005898(gb|WP_002904719)
VFG006015(gb|WP_000676152)
VFG006052(gb|WP_011226150)
VFG006041(gb|WP_011681286)
VFG006278(gb|WP_002247975)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036200(gb|WP_002244388)
VFG050440(gb|WP_000993717.1)
VFG013761(gb|WP_003152762)
VFG042386(gb|AAC44560)
