VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG046475(gb|WP_013922406)
VFG016490(gb|NP_975163)
VFG016493(gb|WP_011283803)
VFG016491(gb|WP_011076858)
VFG010486(gb|WP_011945838)
VFG001855(gb|WP_197535493)
VFG010484(gb|WP_197535716)
VFG012103(gb|WP_003514589)
VFG018663(gb|WP_012130837)
VFG005810(gb|WP_011836396)
VFG001359(gb|WP_000733059)
VFG005807(gb|WP_000733056)
VFG019101(gb|WP_000733058)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG011643(gb|WP_011731796)
VFG005865(gb|WP_002262524)
VFG005872(gb|WP_002982024)
VFG005879(gb|WP_011018342)
VFG005871(gb|WP_002991444)
VFG000964(gb|WP_010922799)
VFG005875(gb|WP_011889256)
VFG005874(gb|WP_002986125)
VFG036196(gb|WP_002245812)
VFG006135(gb|WP_011798758)
VFG036222(gb|WP_013448269)
VFG036200(gb|WP_002244388)
VFG050440(gb|WP_000993717.1)
VFG050443(gb|WP_000993715.1)
VFG050447(gb|WP_020753494.1)
VFG050449(gb|WP_000993719.1)
VFG013761(gb|WP_003152762)
VFG013762(gb|WP_003141352)
