VFG035810(gb|WP_001142963)
VFG046459(gb|WP_004287053)
VFG046474(gb|WP_014714676)
VFG046475(gb|WP_013922406)
VFG046465(gb|WP_003028672)
VFG046458(gb|WP_003024794)
VFG046467(gb|WP_014548920)
VFG016490(gb|NP_975163)
VFG016493(gb|WP_011283803)
VFG016489(gb|WP_011264744)
VFG016492(gb|WP_010925206)
VFG016486(gb|WP_011206373)
VFG016488(gb|WP_011284269)
VFG016484(gb|WP_009885583)
VFG016483(gb|WP_010875022)
VFG016485(gb|WP_011113468)
VFG016491(gb|WP_011076858)
VFG010459(gb|WP_016356941)
VFG010460(gb|WP_011214168)
VFG010462(gb|WP_011946812)
VFG010461(gb|WP_181443700)
VFG045698(gb|WP_003632053)
VFG013762(gb|WP_003141352)
VFG050446(gb|WP_000993712.1)
VFG013761(gb|WP_003152762)
VFG013200(gb|WP_012341396)
VFG013612(gb|WP_011609686)
VFG013346(gb|WP_005693178)
VFG013347(gb|WP_005652408)
VFG013348(gb|WP_012054583)
VFG016433(gb|WP_000757777)
VFG016417(gb|WP_000757774)
VFG013162(gb|WP_012340251)
VFG013350(gb|WP_010945286)
VFG013351(gb|WP_041604256)
VFG005865(gb|WP_002262524)
VFG050173(gb|WP_000702222)
VFG016494(gb|WP_004024476)
VFG013564(gb|WP_011961812)
VFG013563(gb|WP_005667903)
VFG026980(gb|YP_005923858)
VFG026971(gb|YP_007962576)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG009718(gb|WP_011728563)
VFG022860(gb|YP_001703741)
VFG026964(gb|WP_015290883)
VFG009720(gb|WP_011779686)
VFG009721(gb|WP_083044596)
VFG009722(gb|WP_083775447)
VFG001405(gb|NP_217219)
VFG022861(gb|WP_013988942)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG009719(gb|WP_011894790)
VFG026961(gb|WP_074360147)
VFG026967(gb|WP_071997904)
VFG024128(gb|WP_026071295)
VFG024129(gb|WP_008258548)
VFG026983(gb|WP_086426999)
VFG026985(gb|WP_051073897)
VFG009715(gb|WP_023861150)
VFG000332(gb|WP_005632797)
VFG013407(gb|WP_005690709)
VFG013409(gb|WP_012055407)
VFG013169(gb|WP_011609759)
VFG013412(gb|WP_005693459)
VFG013415(gb|WP_012055425)
VFG013414(gb|WP_012054478)
VFG013413(gb|WP_011272400)
VFG013417(gb|WP_011608520)
VFG013170(gb|WP_012341458)
VFG042802(gb|AAN75204)
VFG042386(gb|AAC44560)
VFG005356(gb|WP_000260666)
VFG019077(gb|WP_000260685)
VFG019078(gb|WP_000260667)
VFG005359(gb|WP_002899102)
VFG018652(gb|WP_006154814)
VFG005353(gb|WP_000260656)
VFG005360(gb|WP_002262489)
VFG005341(gb|WP_002986042)
VFG005344(gb|WP_011054177)
VFG037044(gb|WP_013448270)
VFG037041(gb|WP_014581728)
VFG037028(gb|WP_002218620)
VFG037030(gb|WP_002221625)
VFG037031(gb|WP_002216305)
VFG037035(gb|WP_002255636)
VFG037037(gb|WP_002239455)
VFG037039(gb|WP_002221884)
