VFG026980(gb|YP_005923858)
VFG009720(gb|WP_011779686)
VFG009717(gb|WP_011741135)
VFG022859(gb|WP_012393794)
VFG026966(gb|WP_041300173)
VFG026964(gb|WP_015290883)
VFG001405(gb|NP_217219)
VFG026962(gb|WP_015288346)
VFG026963(gb|WP_015303560)
VFG026965(gb|WP_015293867)
VFG022861(gb|WP_013988942)
VFG026984(gb|WP_003878615)
VFG013563(gb|WP_005667903)
VFG013564(gb|WP_011961812)
VFG013513(gb|WP_005694655)
VFG013514(gb|WP_011272587)
VFG013515(gb|WP_011961967)
VFG013183(gb|WP_012340374)
VFG013517(gb|WP_011608883)
VFG037029(gb|WP_010951343)
VFG037030(gb|WP_002221625)
VFG037032(gb|WP_003689973)
VFG037035(gb|WP_002255636)
VFG037039(gb|WP_002221884)
VFG037044(gb|WP_013448270)
VFG037028(gb|WP_002218620)
VFG037031(gb|WP_002216305)
VFG037037(gb|WP_002239455)
VFG037041(gb|WP_014581728)
VFG011643(gb|WP_011731796)
